"License? (GNU GPL, BSD, MIT, terms of use, trial, none, unclear, other∗) ∗ given via a string",other (Apache-2.0),other (Apache-2.0),other,other,other,other,other,other,bsd,mit,mit,bsd,mit,bsd,unclear,bsd,bsd,other,other,bsd,gnu gpl,mit,bsd,mit,bsd,other,bsd,other
"Platforms? (set of Windows, Linux, OS X, Android, other∗) ∗ given via string","Windows, Linux, OS X","Windows, Linux, OS X","Windows, Linux, OS X","Windows, Linux, OS X","Windows, Linux, OS X","Windows, Linux, OS X","Windows, Linux, OS X","Linux, OS X, Windows","Windows, Linux","Windows, Linux","Linux, OS X","Windows, Linux, OS X","Windows, Linux","Windows, Linux, OS X","Windows, Linux, OS X","Windows, Linux, OS X","Windows, Linux, OS X","Windows, Linux, OS X","Windows, Linux, OS X","Windows, Linux","Windows, Linux, OS X","Linux, OS X","Windows, Linux, OS X",Linux,"Windows, Linux, OS X","Windows, Linux, OS X, Android","Windows, Linux, OS X","Windows, Linux, OS X"
"Software Category? The concept category includes software that does not have an officially released version. Public software has a released version in the public domain. Private software has a released version available to authorized users only. (concept, public, private)",public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,public
"Development model? (open source, freeware, commercial, unclear)",open source,open source,open source,commercial,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source,open source
Publications about the software? Refers to publications that have used or mentioned the software. (number or unknown),1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"Source code URL? (set of url, n/a, unclear)",https://github.com/gazebosim/gz-sim,https://github.com/cyberbotics/webots,https://github.com/bulletphysics/bullet3,https://github.com/CoppeliaRobotics/coppeliaSimLib,https://github.com/google-deepmind/mujoco,https://bitbucket.org/odedevs/ode (primary); GitHub mirror: https://github.com/thomasmarsh/ODE,"https://github.com/ros2 (organization); core: https://github.com/ros2/rclcpp, https://github.com/ros2/rcl, https://github.com/ros2/ros2",https://github.com/rdiankov/openrave,https://github.com/NVIDIA-Omniverse/PhysX (PhysX 5.x); https://github.com/NVIDIAGameWorks/PhysX (PhysX 4.x),https://github.com/microsoft/AirSim,https://github.com/RobotLocomotion/drake,https://github.com/dartsim/dart,https://github.com/carla-simulator/carla,https://github.com/morse-simulator/morse,https://github.com/simbody/simbody,https://github.com/ompl/ompl,https://github.com/stack-of-tasks/pinocchio,https://github.com/orocos/orocos_kinematics_dynamics (KDL); https://github.com/orocos-toolchain (RTT),https://github.com/sofa-framework/sofa,"https://github.com/moveit/moveit2 (ROS 2), https://github.com/moveit/moveit (ROS 1, maintenance mode)",https://github.com/graspit-simulator/graspit,https://github.com/facebookresearch/habitat-sim,https://github.com/projectchrono/chrono,https://github.com/uzh-rpg/flightmare,https://github.com/MRPT/mrpt,https://github.com/JulioJerez/newton-dynamics,https://github.com/robotology/yarp,https://github.com/OpenRTM/OpenRTM-aist
"Programming language(s)? (set of FORTRAN, Matlab, C, C++, Java, R, Ruby, Python, Cython, BASIC, Pascal, IDL, unclear, other∗) ∗ given via string","C++, Python","C, C++, Python, Java, other (MATLAB support)","C++, C, Python","C++, C, Python, other (Lua for scripting; Java, MATLAB, Octave, Rust supported via remote API)","C++, C, Python, other (C# for Unity plugin; Jupyter Notebook for tutorials)","C, C++","C++, Python, C, other (CMake, XML for package manifests)","C++, Python, other (Octave/MATLAB bindings; plugin interface supports other languages)","C++, C, other (CUDA for GPU computation; Python bindings available)","C++, Python, other (Unreal Engine Blueprint scripting)","C++, Python, other (originally MATLAB; Bazel build system)","C++, Python (dartpy bindings)","C++, Python, other (Unreal Engine Blueprint scripting)","Python, other (Blender Python API; C for performance-critical components)","C++, other (experimental Python bindings)","C++, Python (Python bindings via Py++ code generation)","C++, Python (Python bindings via Boost.Python; pip install pin)","C++, Python (PyKDL Python bindings)","C++, Python (Python bindings via SofaPython3)","C++, Python","C++, Python (ROS interface)","C++, Python","C++, Python (Python bindings via PyChrono)","C++, Python","C++, Python (pymrpt Python bindings)","C++, C","C++, Python (Python bindings), Java (Java bindings via SWIG)","C++, Python (OpenRTM-aist-Python: full Python implementation)"
"Is there evidence that performance was considered? Performance refers to either speed, storage, or throughput. (yes∗, no)","yes (high-performance physics engines, optimized rendering with OGRE v2, efficient sensor simulation)","yes (realistic physics engine, optimized 3D rendering, efficient simulation performance)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Additional comments? (can cover any metrics you feel are missing,"or any other thoughts you have), Development began in 2002 at USC. Gazebo Classic (original version) reached EOL January 2025. Current version is Gazebo (formerly Ignition), representing over 16 years of development. Latest release: Jetty (September 2025, LTS version). Maintainer: arjoc@intrinsic.ai","or any other thoughts you have), Development began in 1996 at EPFL by Dr. Olivier Michel. Commercialized by Cyberbotics Ltd. since 1998. Became free and open-source in December 2018. Over 250,000 downloads since open-sourcing. Beginner-friendly software for robotics education and research.","Created by Erwin Coumans, who received a Scientific and Technical Academy Award in 2015 for Bullet Physics. Actively used by Google Robotics for quadruped locomotion, sim-to-real transfer, motion imitation, and reinforcement learning. Can run in web browsers via Google Colab.","Formerly known as V-REP, rebranded 2019. CoppeliaSim Edu is free and fully functional for academic use only. CoppeliaSim Pro is commercial. CoppeliaSim Player is a free limited viewer. Coppelia Robotics founded in 2010, acquired by Blue Workforce in 2016.","Originally developed at University of Washington Movement Control Lab by Emanuel Todorov, Tom Erez, and Yuval Tassa (2012). Commercialized by Roboti LLC. Acquired by Google DeepMind in October 2021; made freely available then open-sourced under Apache-2.0 in May 2022. Industry-standard physics engine for reinforcement learning research.","One of the oldest and most established open-source physics engines, continuously developed since 2001. Widely used as a physics backend in Gazebo (Classic) and CoppeliaSim. The project uses Bitbucket as its primary repository (not GitHub), using Mercurial historically and now Git.","ROS 2 is a complete redesign of ROS 1 (Robot Operating System) to address limitations in security, real-time performance, and multi-robot support. Uses DDS (Data Distribution Service) for communication instead of a custom middleware. Has annual releases with LTS versions every two years. Latest LTS: Jazzy Jalisco (May 23, 2024, supported until May 2029).","OpenRAVE began as a rewrite of the RAVE simulator (developed by James Kuffner, 1995) by Rosen Diankov at CMU in 2006. It uses a plugin architecture for planners, controllers, and sensors. Stable release is 0.8.2 (2012); current GitHub code is more recent but formal versioning lags. Widely used in manipulation and grasping research. A Python 3 compatible fork (openrave3) exists on GitHub.","PhysX began as NovodeX (2001), was commercialized with dedicated PPU hardware by Ageia, then acquired and GPU-integrated by NVIDIA (2008). Open-sourced in 2018 to support robotics and AI research. PhysX 5 merges formerly separate Flex library capabilities. Used as physics backend in NVIDIA Isaac Sim, Unreal Engine, Unity, and many robotics simulators.","AirSim was built on Unreal Engine 4 and also provides a Unity plugin. Microsoft officially archived the repository in November 2022, citing resource constraints. A successor, Microsoft Project AirSim, is under development as a commercial product. Community forks (e.g., Colosseum by CodexLabsLLC) continue active development. v1.8.1 was the final official release.",Drake (named after Sir Francis Drake) started as a MATLAB toolbox at MIT for dynamic systems analysis. It was rewritten in C++ with Python bindings and is now the primary simulation and planning framework used at Toyota Research Institute. Releases monthly on the last Thursday of each month. Unusually rigorous software engineering practices for a research codebase.,"DART began at Georgia Tech in 2011 as a physics engine emphasizing stable simulation for locomotion. Used as a physics backend in Gazebo (alongside ODE and Bullet). Has an active main branch targeting DART 7 with modularization plans, and a release-6.x branch for stable fixes. Python bindings (dartpy) available via PyPI. Published in the Journal of Open Source Software (JOSS) 2018.",CARLA (CAR Learning to Act) is one of the most popular autonomous driving simulators globally. Founded in 2016 at the CVC with Intel Labs support; first presented at CoRL 2017. Originally built on Unreal Engine 4; CARLA 0.10.0 (December 2024) migrated to Unreal Engine 5.5. Has an annual CARLA CVPR Autonomous Driving Grand Challenge. Python client API enables scripted scenarios. ScenarioRunner and CARLA-ROS-Bridge are major ecosystem tools.,"MORSE is built on the Blender 3D engine and uses Blender's Python scripting environment. Unique among simulators for its middleware-agnostic design: supports ROS, YARP, Pocolibs, HLA, and socket-based communication simultaneously. No longer maintained as of ~2020; requires Blender 2.79b (outdated). MORSE was the primary academic robotics simulator in Europe before Gazebo gained dominance. 4,356 total commits over its active life.","Simbody originates from NIH/Stanford work on biological simulation. It is the core physics engine for OpenSim, the industry-standard biomechanical simulation software used in clinical gait analysis and prosthetics research. Simbody handles compliant contact, constraint-based simulation, and articulated body inertia efficiently. Has 5,000+ commits. Primary use case is biomedical simulation but also applied to robotics.","OMPL is the de facto standard C++ motion planning library in academic robotics. It does not include a robot model or collision checking (by design); these must be provided by the user or an integrating framework (MoveIt, ROS, OpenRAVE). OMPL ships with an extensive benchmarking framework for comparing planners. Integrated into MoveIt as default motion planning backend. Latest release: OMPL 1.7.0 (April 7, 2025).","Pinocchio is among the fastest open-source rigid-body dynamics libraries available. Supports URDF and SRDF model loading. Python bindings (pip install pin) work only on Linux currently. Conda install (conda install pinocchio -c conda-forge) works on all platforms. Widely used in whole-body control, trajectory optimization, and learning-for-control research. Integral to many Inria/LAAS robotics frameworks (HPP, tsid, crocoddyl).","OROCOS is one of the oldest open-source real-time robot control frameworks. KDL became the standard kinematic chain library in ROS 1. ROS robot_state_publisher, trac-ik, and many ROS IK plugins build on KDL. LGPL/GPL runtime exception license was chosen to allow C++ template use without GPL contamination.","SOFA is the leading open-source framework for medical simulation. Component-based scene graph architecture allows mixing and matching deformable models, collision algorithms, and solvers. SofaPython3 plugin provides Python scripting API. Used in surgical simulation, catheter navigation planning, and soft robot control. Plugin ecosystem (SOFA-Framework plugin store) extends functionality significantly.","MoveIt! is the de facto standard robotics manipulation framework in ROS. Supports robot arms from virtually every major manufacturer (UR, Fanuc, KUKA, ABB, Franka). URDF/SRDF based robot description. Integrates with Gazebo, RViz, and real hardware via ros_control. Annual World MoveIt Day community event. MoveIt Pro (commercial) builds on open-source MoveIt 2.","GraspIt! was the dominant open-source grasp planning simulator from ~2000-2016. Version 4.0 (April 2021) brought major modernization: switched from qmake to CMake, from custom linear algebra to Eigen3, and added Bullet physics integration. A ROS package (graspit_interface) enables integration with ROS-based manipulation systems. Activity has declined since 2022, with minimal maintenance. The Columbia Grasp Database (CGDB) integration remains a unique feature.","Habitat-Sim is designed specifically for embodied AI research at scale — enabling massive RL training with thousands of parallel simulation instances. Supports articulated object simulation (v0.2+), rearrangement tasks (v0.3), and multi-agent scenarios. The Habitat-Matterport 3D Dataset (HM3D) released alongside provides 1000 photorealistic indoor environments. Not primarily a robot dynamics simulator but widely used in embodied agent research. Companion to Habitat-Lab (reinforcement learning training framework).","Project Chrono is uniquely comprehensive: rigid multibody + FEA + vehicle dynamics + GPU granular mechanics + fluid-structure interaction in one library. Chrono::Vehicle module is particularly advanced for autonomous ground vehicle simulation. PyChrono Python bindings enable scripting. Integration with Blender (Chrono::Blender) for visualization. Used by automotive industry, US Army, and NASA for off-road vehicle simulation.","Flightmare was designed specifically for the drone RL research community. Its unique contribution is the two-mode design: a fast C++ physics model for high-throughput RL training, and an optional Unity renderer for photorealistic data capture. The 1.3k stars reflect impact in the drone RL community. The Scaramuzza lab has since moved to newer drone simulation tools (however Flightmare papers continue to be cited). Dependency on Unity3D for the renderer is a complexity factor.","MRPT is one of the most comprehensive single-library robotics toolkits: 100+ SLAM algorithms, 3D visualization, sensor simulation, and mobile robot-specific utilities. Includes mrpt-slam, mrpt-nav, mrpt-vision, mrpt-maps modules. Python bindings (pymrpt) available via pip install pymrpt. ROS 2 integration (mrpt_ros2 packages). Active development since 2005 with one primary maintainer (Blanco-Claraco) is remarkable.","Newton Dynamics is notable for its deterministic exact arithmetic solver, which distinguishes it from other game physics engines like Bullet and PhysX. The v4.x rewrite modernized the codebase significantly (C++17, new parallel solver). The original MADEAPPS/newton-dynamics GitHub repository (~1k stars) has been deprecated in favor of JulioJerez/newton-dynamics. Integrated in Gazebo as an optional physics engine. Used in commercial games and robotics simulations. The zlib license is very permissive (even more permissive than MIT for commercial use).",YARP is the primary middleware for the iCub humanoid robot — one of the world's most widely used open humanoid platforms (worldwide network of 40+ iCub labs). YARP's port-based communication model provides device abstraction enabling transparency between simulated (Gazebo) and real iCub. YARP has been continuously developed and maintained by IIT since 2006. The robotology superbuild (https://github.com/robotology/robotology-superbuild) provides a comprehensive installation framework for YARP and all IIT robotics software.,"OpenRTM-aist is the de facto standard robotics middleware in Japan, implementing the OMG RT-Component standard (OMG formal/08-01-07). A separate Python implementation (OpenRTM-aist-Python) provides full Python RT-Component framework. There is also OpenRTM-aist-Java. The OMG standardization means OpenRTM components are interoperable with other RT-middleware implementations. Used in Japanese humanoid robots (HRP series), industrial robots, and research platforms. Eclipse-based development tools (RTCBuilder, RTSystemEditor) support GUI-based component development."
Are there installation instructions? (yes,"no), yes","no), yes",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Are the installation instructions in one place? Place referring to a single document or web-page. (yes, no, n/a)",yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Are the installation instructions linear? Linear meaning progressing in a single series of steps. (yes, no, n/a)",yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Are the instructions written as if the person doing the installation has none of the dependent packages installed? (yes, no, unclear)",yes,yes,yes,yes,yes,unclear,yes,unclear,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Are compatible operating system versions listed? (yes, no)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Is there something in place to automate the installation (makefile, script, installer, etc)? (yes∗, no)",yes,"yes (installation packages available for Windows, macOS, Linux)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"If the software installation broke, was a descriptive error message displayed? (yes, no, n/a)",n/a,n/a,n/a,n/a,n/a,n/a,n/a,yes,n/a,yes,n/a,n/a,yes,yes,n/a,n/a,n/a,n/a,n/a,n/a,yes,n/a,n/a,yes,n/a,n/a,n/a,yes
"Is there a specified way to validate the installation? (yes∗, no)",yes,yes (can launch Webots and run example simulations),yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"How many steps were involved in the installation? (Includes manual steps like unzipping files) Specify OS. (number, OS)",2,"3, Linux","3, Linux","5, Linux","3, Linux","7, Linux","6, Linux","9, Linux","7, Linux","8, Linux","4, Linux","4, Linux","7, Linux","8, Linux","6, Linux","3, Linux","2, Linux","4, Linux","5, Linux","5, Linux","8, Linux","4, Linux","5, Linux","7, Linux","3, Linux","6, Linux","4, Linux","5, Linux"
"What OS was used for the installation? (Windows, Linux, OS X, Android, other∗ ) ∗given via string",Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Linux
