7,MuJoCo,Google DeepMind,Physics engine (accurate contacts), simulation,Popular for robot learning; modern open-source maintenance. ([mujoco.org][7]),,,
8,Bullet / PyBullet,Bullet community,Physics engine & Python API,Real-time physics; common in RL & robotics; MoveIt can use Bullet for CCD. ([pybullet.org][8]),,,,
9,DART,Georgia Tech / UW / OSRF,Dynamics, collision, simulation,Used standalone and as a Gazebo backend. ([dartsim.github.io][9]),,
10,ODE,Russell Smith & community,Rigid-body dynamics engine,Classic engine; still supported and used in simulators. ([ode.org][10]),,,,
11,NVIDIA Isaac Sim,NVIDIA (Omniverse),High-fidelity sim, synthetic data, ROS,GPU-accelerated sim with PhysX; strong industry uptake. ([NVIDIA Developer][11]),,
12,PhysX SDK,NVIDIA,Physics engine,Modern open-source multi-physics used under Isaac/Omniverse. ([NVIDIA Developer][12]),,,,
13,Habitat-Sim,FAIR/Meta,Embodied AI sim (indoor nav, sensors),High-performance sim over large 3D scans; widely cited in embodied AI. ([AI Habitat][13]),,,
14,iGibson / OmniGibson,Stanford VL / BEHAVIOR,Interactive household sim,Interactive scenes for manipulation & nav; Bullet-based. ([svl.stanford.edu][14]),,,,
15,ManiSkill (on SAPIEN),Hao Su Lab (UCSD),Manipulation sim & benchmarks,GPU-parallel data collection; growing benchmark suite. ([maniskill.readthedocs.io][15]),,,,
16,SAPIEN,UCSD / collaborators,Robotics simulator,Underlying simulator powering ManiSkill. ([sapien.ucsd.edu][16]),,,,
17,robosuite (MuJoCo),Stanford/Robotics labs,Robot learning sim suite,Modular MuJoCo-based environments for manipulation. ([robosuite][17]),,,,
18,Tesseract,ROS-Industrial / SwRI,Planning environment (opt-based),Lightweight, ROS-agnostic; integrates TrajOpt, industrial apps. ([ROS-Industrial][18]),,
19,TrajOpt / trajopt_ros,UC Berkeley → ROS-Industrial,Trajectory optimization,Sequential convex optimization for collision-aware paths. ([rll.berkeley.edu][19]),,,,
20,OpenRAVE,CMU (Rosen Diankov),Kinematics & planning environment,Influential (MoveIt/TrajOpt roots); still referenced/cited. ([openrave.org][20]),,,,
21,Pinocchio,LAAS-CNRS/Inria (Stack-of-Tasks),Kinematics & rigid-body dynamics,Very fast dynamics/derivatives; widely used in control/planning. ([stack-of-tasks.github.io][21]),,,,
22,RBDL,Martin Felis et al.,Rigid-body dynamics,Efficient open library; peer-reviewed and well-cited. ([rbdl.github.io][22]),,,,
23,iDynTree,IIT (robotology),Multibody dynamics, estimation,Designed for free-floating robots; used in humanoid control. ([robotology.github.io][23]),,,
24,Orocos KDL,Orocos project,Kinematics & dynamics,Core kinematics package used across ROS stacks. ([docs.orocos.org][24]),,,,
25,ros2_control (ros_control),ros-controls,Real-time robot control framework,Standard interface for hardware + controllers in ROS 2. ([control.ros.org][25]),,,,
26,Navigation2 (Nav2),Open Navigation LLC / ROS,Mobile robot navigation,Successor to ROS nav stack; modular planners/controllers. ([docs.nav2.org][26]),,,,
27,FCL (Flexible Collision Library),UNC / Willow Garage et al.,Collision & proximity queries,Widely used collision checker (e.g., in MoveIt). ([gamma.cs.unc.edu][27]),,,
28,SOFA,SOFA Consortium,Interactive mechanical sim (FEM),Strong in soft-tissue/medical & soft robotics simulation. ([SOFA][28]),,,,
29,Crazyswarm / Crazyswarm2,USC ACT / IMRCLab,Multi-drone control & planning,Swarm flight testbed; ROS/ROS 2 stacks available. ([crazyswarm.readthedocs.io][29]),,,,
30,Polymetis,FAIR (Meta),Robot controllers (PyTorch), sim→real,Write/test PyTorch controllers; transfer to real hardware. ([facebookresearch.github.io][30]),,,
31,acados,SYS-COP / community,Fast nonlinear MPC & MHE,Real-time OCP solvers; widely used with CasADi front-ends. ([docs.acados.org][31]),,,,
32,CasADi,KU Leuven et al.,AD + nonlinear optimization (OCP),Very widely cited toolkit for optimal control & MPC. ([web.casadi.org][32]),,,,
33,do-mpc,TUM / community,Python MPC & MHE,Educational → applied MPC workflows (nonlinear, robust). ([do-mpc.com][33]),,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Gemini generated consolidated robotics software packages table,,https://chatgpt.com/c/guide/704a10a5-129e-4a00-8005-5c74165915fa,,,,,,
Package,Category,Origin,Primary Domain Focus,Usage / Popularity,,,,
ROS (Robot Operating System),Framework,Willow Garage / Open Robotics,"A flexible framework (middleware) for writing robot software. Integrates planning, control, perception, and simulation.",Industry/Academic Standard. The most widely used framework.,,,,
ROS 2,Framework,Open Robotics,"The next generation of ROS, focused on real-time, multi-robot systems, and commercial-grade applications.",Growing Standard. Rapidly replacing ROS 1 for new projects.,,,,
Drake,Framework,MIT CSAIL / Toyota Research Institute,"A C++/Python toolbox for model-based design, analysis, control, and simulation (especially for complex contact dynamics).",Very High (Research). Popular in legged robotics and manipulation research.,,,,
YARP (Yet Another Robot Platform),Framework,Italian Institute of Technology (iit),"A middleware for developing and controlling humanoid robots, most notably the iCub.","High (Academic). Widely used in humanoid research, particularly in Europe.",,,,
Orocos (Open Robot Control Software),Framework,KU Leuven (Belgium),"A C++ framework for creating real-time control systems, often used in complex industrial and research applications.",High (Academic/EU). Respected for its real-time capabilities.,,,,
MoveIt,Motion Planning,Willow Garage / ROS Community,"An integrated motion planning framework within ROS. It combines various planners, collision checking, kinematics, and visualization.",Very High (ROS Standard). The default planning suite for ROS.,,,,
OMPL (Open Motion Planning Library),Motion Planning,Kavraki Lab (Rice University),"A C++ library of sampling-based motion planning algorithms (e.g., RRT, PRM). It is the default planner used within MoveIt.",Very High (Academic/ROS). The foundational library for most sampling-based planning.,,,,
SBPL (Search-Based Planning Library),Motion Planning,CMU,"A library for heuristic and search-based planners (e.g., ARA*, AD*), often used for navigation and arm planning.",High (Academic). A standard for search-based approaches.,,,,
TrajOpt,Motion Planning,UC Berkeley,"A library for trajectory optimization, often used for finding smooth, collision-free paths for manipulators.",Medium (Research).,,,,
CHOMP (Covariant Hamiltonian Optimization),Motion Planning,CMU,"A gradient-based trajectory optimization planner, often used as a post-processing step to refine paths.",Medium (Research).,,,,
STOMP (Stochastic Trajectory Optimization),Motion Planning,University of Washington,An optimization-based planner that works well in high-dimensional spaces. Integrated into MoveIt.,Medium (Research).,,,,
KineoWorks,Motion Planning,Siemens,A commercial software component for automatic path planning and collision detection in industrial contexts.,High (Industrial).,,,,
Robotics Toolbox for MATLAB,Motion Planning,Peter Corke,"A widely used MATLAB/Simulink toolbox for robot kinematics, dynamics, and trajectory generation.",Very High (Academic). A standard for teaching and prototyping.,,,,
MuJoCo (Multi-Joint dynamics with Contact),Physics & Control,Univ. of Washington / DeepMind,"A high-speed physics engine optimized for contact-rich dynamics, robotics, and biomechanics.",Very High (ML/RL Standard). The most popular engine for reinforcement learning.,,,,
Bullet Physics (and PyBullet),Physics & Control,Erwin Coumans (Google/AMD),An open-source physics engine. PyBullet is its popular Python-based research wrapper.,Very High (ML/RL). A primary competitor to MuJoCo in ML research.,,,,
ODE (Open Dynamics Engine),Physics & Control,Russell Smith,"An open-source, high-performance C/C++ library for simulating rigid body dynamics.",High. The default physics engine in Gazebo and Webots.,,,,
PhysX,Physics & Control,NVIDIA,A high-performance physics engine used in gaming and simulation. It is the core physics engine for NVIDIA's Isaac Sim.,Very High (Industry).,,,,
Pinocchio,Physics & Control,INRIA (France),"A C++ library implementing rigid body dynamics algorithms (kinematics, dynamics, contact) for poly-articulated systems.",High (Academic). Heavily used in legged robotics.,,,,
KDL (Kinematics and Dynamics Library),Physics & Control,KU Leuven,"A core part of the Orocos project, providing classes for kinematics (solvers) and dynamics of robot chains.",High (ROS). Often used within the ROS ecosystem.,,,,
Crocoddyl (Contact RObot COntrol),Physics & Control,INRIA (France),"An optimal control library for robotics, specializing in differential dynamic programming (DDP).",Medium (Research). A state-of-the-art tool for optimal control.,,,,
Gazebo,Simulation,Open Robotics,"A 3D dynamic robot simulator with strong integration into ROS. Simulates robots, sensors, and environments.",Very High (ROS Standard). The default simulator for the ROS ecosystem.,,,,
NVIDIA Isaac Sim,Simulation,NVIDIA,"A photorealistic, physics-based simulator built on NVIDIA Omniverse. Focused on AI and synthetic data generation.",High (Growing Fast). A new standard for AI-driven robotics.,,,,
Webots,Simulation,Cyberbotics,"A professional, multi-platform robot simulator used for research, education, and industrial prototyping.",High (Academic/Industry).,,,,
CoppeliaSim (formerly V-REP),Simulation,Coppelia Robotics,"A general-purpose 3D robot simulator, known for its ""distributed control"" architecture and ease of use.",High (Academic/Industry).,,,,
AirSim,Simulation,Microsoft,"An open-source simulator for autonomous vehicles (drones, cars) built on Unreal Engine for high-fidelity graphics.",High (Research). A standard for autonomous vehicle simulation.,,,,
RoboDK,Industrial Sim,RoboDK Inc.,"A popular, brand-agnostic simulator and OLP (Offline Programming) tool for industrial robots.",High (Industrial).,,,,
RobotStudio,Industrial Sim,ABB,ABB's proprietary simulation and OLP software for their robots.,Industry Standard (ABB).,,,,
Delmia,Industrial Sim,Dassault Systèmes,A comprehensive digital manufacturing suite (part of the 3DEXPERIENCE platform) for factory and robot simulation.,Industry Standard.,,,,
