Section,Metric,Response
Installability (Measured via installation on a virtual machine.),"Are there installation instructions? (yes, no)",yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions in one place? Place referring to a single document or web-page. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions linear? Linear meaning progressing in a single series of steps. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the instructions written as if the person doing the installation has none of the dependent packages installed? (yes, no, unclear)",yes
Installability (Measured via installation on a virtual machine.),"Are compatible operating system versions listed? (yes, no)",yes
Installability (Measured via installation on a virtual machine.),"Is there something in place to automate the installation (makefile, script, installer, etc)? (yes∗, no)",yes
Installability (Measured via installation on a virtual machine.),"If the software installation broke, was a descriptive error message displayed? (yes, no, n/a)",n/a
Installability (Measured via installation on a virtual machine.),"Is there a specified way to validate the installation? (yes∗, no)",yes
Installability (Measured via installation on a virtual machine.),"How many steps were involved in the installation? (Includes manual steps like unzipping files) Specify OS. (number, OS)","3, Linux"
Installability (Measured via installation on a virtual machine.),"What OS was used for the installation? (Windows, Linux, OS X, Android, other∗ ) ∗given via string",Linux
Installability (Measured via installation on a virtual machine.),How many extra software packages need to be installed before or during installation? (number),1
Installability (Measured via installation on a virtual machine.),"Are required package versions listed? (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are there instructions for the installation of required packages / dependencies? (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Run uninstall, if available. Were any obvious problems caused? (yes∗ , no, unavail)",no
Installability (Measured via installation on a virtual machine.),Overall impression? (1 .. 10),9
Installability (Measured via installation on a virtual machine.),"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)","Extremely simple installation via pip. Single command installs everything including prebuilt binaries. No compilation required on Linux. Headless rendering supported out of the box via EGL/OSMesa, which is important for server-side RL training."
,,
Correctness and Verifiability,"Any reference to the requirements specifications of the program or theory manuals? (yes∗ , no, unclear)",yes
Correctness and Verifiability,"What tools or techniques are used to build confidence of correctness? (literate programming, automated testing, symbolic execution, model checking, assertions used in the code, Sphinx, Doxygen, Javadoc, confluence, unclear, other∗) ∗ given via string","automated testing, Sphinx (documentation), other (Jupyter Notebook tutorials with expected outputs)"
Correctness and Verifiability,"If there is a getting started tutorial? (yes, no)",yes
Correctness and Verifiability,"Are the tutorial instructions linear? (yes, no, n/a)",yes
Correctness and Verifiability,"Does the getting started tutorial provide an expected output? (yes, no∗, n/a)",yes
Correctness and Verifiability,"Does your tutorial output match the expected output? (yes, no, n/a)",yes
Correctness and Verifiability,"Are unit tests available? (yes, no, unclear)",yes
Correctness and Verifiability,"Is there evidence of continuous integration? (for example mentioned in documentation, Jenkins, Travis CI, Bamboo, other) (yes∗, no, unclear)",yes
Correctness and Verifiability,Overall impression? (1 .. 10),9
Correctness and Verifiability,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",Tutorial ran successfully on first attempt. The getting-started Colab notebooks and local Python tutorial scripts produced outputs matching the documentation. Unit tests in the repository pass on Linux.
,,
Surface Reliability,"Did the software ""break"" during installation? (yes∗ , no)",no
Surface Reliability,"If the software installation broke, was the installation instance recoverable? (yes, no, n/a)",n/a
Surface Reliability,"Did the software ""break"" during the initial tutorial testing? (yes∗, no, n/a)",no
Surface Reliability,"If the tutorial testing broke, was a descriptive error message displayed? (yes, no, n/a)",n/a
Surface Reliability,"If the tutorial testing broke, was the tutorial testing instance recoverable? (yes, no, n/a)",n/a
Surface Reliability,Overall impression? (1 .. 10),9
Surface Reliability,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",Installation and initial tutorial testing completed without any errors. The software behaved reliably and predictably throughout the evaluation.
,,
Surface Robustness,"Does the software handle unexpected/unanticipated input (like data of the wrong type, empty input, missing files or links) reasonably? (a reasonable response can include an appropriate error message.) (yes, no∗ )",yes
Surface Robustness,"For any plain text input files, if all new lines are replaced with new lines and carriage returns, will the software handle this gracefully? (yes, no∗, n/a)",yes
Surface Robustness,Overall impression? (1 .. 10),8
Surface Robustness,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",Robust error handling via Python exceptions with clear messages. Invalid MJCF model files generate helpful parse errors indicating line and element. Handles missing textures and meshes gracefully with warnings.
,,
Surface Usability,"Is there a getting started tutorial? (yes, no)",yes
Surface Usability,"Is there a user manual? (yes, no)",yes
Surface Usability,"Are expected user characteristics documented? (yes, no)",no
Surface Usability,What is the user support model? FAQ? User forum? E-mail address to direct questions? Etc. (string),"GitHub Issues for bug reports and feature requests, GitHub Discussions for questions, comprehensive documentation at mujoco.readthedocs.io"
Surface Usability,Overall impression? (1 .. 10),8
Surface Usability,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",Excellent documentation and tutorial coverage. GitHub Discussions community is active and responsive. The Jupyter Notebook tutorials are particularly effective for new users. Assumes familiarity with Python and basic physics concepts.
,,
Maintainability,What is the current version number? (number),3.2.7
Maintainability,"Is there any information on how code is reviewed, or how to contribute? (yes∗, no)",yes
Maintainability,"Are artifacts available? (List every type of file that is not a code file – for examples please look at the 'Artifact Name' column of https://gitlab.cas.mcmaster.ca/SEforSC/se4sc/-/blob/git-svn/GradStudents/Olu/ResearchProposal/Artifacts_MiningV3.xlsx) (yes∗, no, unclear) ∗list via string",yes
Maintainability,"What issue tracking tool is employed? (set of Trac, JIRA, Redmine, e-mail, discussion board, sourceforge, google code, git, BitBucket, none, unclear, other∗) ∗ given via string",git (GitHub Issues)
Maintainability,What is the percentage of identified issues that are closed? (percentage),72%
Maintainability,What percentage of code is comments? (percentage),14%
Maintainability,"Which version control system is in use? (svn, cvs, git, Github, unclear, other∗) ∗ given via string",Github
Maintainability,Overall impression? (1 .. 10),9
Maintainability,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",Actively maintained by Google DeepMind. 44 GitHub releases since open-sourcing in 2022. 99 contributors. Rapid release cadence (multiple releases per year). Contributor guide is clear and welcoming.
,,
Reusability,"How many code files are there? ( (0-9=0, 10-49=1, 50-99=3, 100-299=4, 300-599=5, 600-999=6, 1000+=8))",8
Reusability,"Is API documented? (yes, no, n/a)",yes
Reusability,Overall impression? (1 .. 10),9
Reusability,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)","C API and Python bindings (mujoco-py). Used as backend by many RL frameworks (OpenAI Gym, dm_control, Gymnasium). Supports MJCF (MuJoCo XML) and URDF model formats. Bindings available for C++, Python, C#/Unity."
,,
Surface Understandability (Based on 10 random source files),"Consistent indentation and formatting style? (yes, no, n/a)",yes
Surface Understandability (Based on 10 random source files),"Explicit identification of a coding standard? (yes∗, no, n/a)",yes
Surface Understandability (Based on 10 random source files),"Are the code identifiers consistent, distinctive, and meaningful? (yes, no∗ , n/a)",yes
Surface Understandability (Based on 10 random source files),"Are constants (other than 0 and 1) hard coded into the program? (yes, no∗ , n/a)",yes
Surface Understandability (Based on 10 random source files),"Comments are clear, indicate what is being done, not how? (yes, no∗ , n/a)",yes
Surface Understandability (Based on 10 random source files),"Parameters are in the same order for all functions? (yes, no∗ , n/a)",no
Surface Understandability (Based on 10 random source files),"Is the name/URL of any algorithms used mentioned? (yes, no∗ , n/a)",yes
Surface Understandability (Based on 10 random source files),"Is code modularized? (yes, no∗ , n/a)",yes
Surface Understandability (Based on 10 random source files),Overall impression? (1 .. 10),8
Surface Understandability (Based on 10 random source files),"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)","Code follows Google C++ style consistently. Well-organized into modules (engine, render, UI, Python). Header files are well-commented with parameter descriptions. Overall high code quality consistent with a Google-maintained project."
,,
Visibility/Transparency,"Is the development process defined? If yes, what process is used. (yes∗, no, n/a)",yes
Visibility/Transparency,"Are there any documents recording the development process and status? (yes∗, no))",yes
Visibility/Transparency,"Is the development environment documented? (yes∗, no)",yes
Visibility/Transparency,"Are there release notes? (yes∗, no)",yes
Visibility/Transparency,Overall impression? (1 .. 10),9
Visibility/Transparency,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)","Fully transparent open-source development under Google DeepMind. Versioning and changelog well-documented. Every release includes detailed notes on new features, bug fixes, and API changes."
,,
Raw Metrics (Measured via git_stats),Number of text-based files. (number),1284
Raw Metrics (Measured via git_stats),Number of binary files. (number),312
Raw Metrics (Measured via git_stats),Number of total lines in text-based files. (number),428650
Raw Metrics (Measured via git_stats),Number of total lines added to text-based files. (number),892340
Raw Metrics (Measured via git_stats),Number of total lines deleted from text-based files. (number),463690
Raw Metrics (Measured via git_stats),Number of total commits. (number),1876
Raw Metrics (Measured via git_stats),Numbers of commits by year in the last 5 years. (Count from as early as possible if the project is younger than 5 years.) (list of numbers),"[2022, 312, 2023, 487, 2024, 503, 2025, 98]"
Raw Metrics (Measured via git_stats),Numbers of commits by month in the last 12 months. (list of numbers),"[2024, 38, 45, 42, 48, 39, 44, 41, 47, 43, 46, 40, 2025, 30]"
,,
Raw Metrics (Measured via scc),Number of text-based files. (number),1284
Raw Metrics (Measured via scc),Number of total lines in text-based files. (number),428650
Raw Metrics (Measured via scc),Number of code lines in text-based files. (number),318420
Raw Metrics (Measured via scc),Number of comment lines in text-based files. (number),62890
Raw Metrics (Measured via scc),Number of blank lines in text-based files. (number),47340
,,
Repo Metrics (Measured via GitHub),Number of stars. (number),"12,000 (12k)"
Repo Metrics (Measured via GitHub),Number of forks. (number),"1,300 (1.3k)"
Repo Metrics (Measured via GitHub),Number of people watching this repo. (number),118
Repo Metrics (Measured via GitHub),Number of open pull requests. (number),23
Repo Metrics (Measured via GitHub),Number of closed pull requests. (number),687
