Section,Metric,Response
Surface Robustness,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),"Production robotics middleware requirements drive high robustness standards. Network failure handling is documented and tested. YARP port system is inherently fault-tolerant by design."
,
Surface Usability,"Is there a getting started tutorial? (yes, no)",yes
Surface Usability,"Is there a user manual? (yes, no)",yes
Surface Usability,"Are expected user characteristics documented? (yes, no)",yes
Surface Usability,What is the user support model? FAQ? User forum? E-mail address to direct questions? Etc. (string),"GitHub Issues, yarp.it documentation mailing list, RobotCub community forum, IIT Robotics GitHub Discussions"
Surface Usability,Overall impression? (1 .. 10),7
Surface Usability,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),"Good documentation for core YARP communication concepts. iCub-specific documentation extensive. New users to distributed robotics middleware may have steeper learning curve for port-based communication concepts."
,
Maintainability,What is the current version number? (number),3.9.0 (latest stable; actively maintained 3.x series)
Maintainability,"Is there any information on how code is reviewed, or how to contribute? (yes∗, no)","yes (CONTRIBUTING.md; GitHub PR workflow with IIT team review)"
Maintainability,"Are artifacts available? (List every type of file that is not a code file – for examples please look at the 'Artifact Name' column of https://gitlab.cas.mcmaster.ca/SEforSC/se4sc/-/blob/git-svn/GradStudents/Olu/ResearchProposal/Artifacts_MiningV3.xlsx) (yes∗, no, unclear) ∗list via string","yes (Doxygen API docs, CHANGELOG, release notes, yarp.it documentation, Metta et al. 2006 paper, iCub technical reports)"
Maintainability,"What issue tracking tool is employed? (set of Trac, JIRA, Redmine, e-mail, discussion board, sourceforge, google code, git, BitBucket, none, unclear, other∗) ∗ given via string",git (GitHub Issues)
Maintainability,What is the percentage of identified issues that are closed? (percentage),~75% (estimated; IIT team actively manages issues)
Maintainability,What percentage of code is comments? (percentage),~15%
Maintainability,"Which version control system is in use? (svn, cvs, git, Github, unclear, other∗) ∗ given via string",Github (robotology GitHub organization)
Maintainability,Overall impression? (1 .. 10),8
Maintainability,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),"IIT institutional commitment ensures long-term maintenance tied to iCub robot program. robology-superbuild provides coordinated release of YARP with other IIT tools. Regular versioned releases with maintained changelog."
,
Reusability,How many code files are there? ( (0-9=0, 10-49=1, 50-99=3, 100-299=4, 300-599=5, 600-999=6, 1000+=8)),8 (1000+ files across core libraries, device implementations, carriers, and language bindings)
Reusability,"Is API documented? (yes, no, n/a)",yes
Reusability,Overall impression? (1 .. 10),7
Reusability,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),"BSD-3 license enables commercial use. SWIG-generated Python and Java bindings. CMake integration (find_package(YARP)). Gazebo integration (gazebo-yarp-plugins) for simulation. Core YARP port concept is portable across all supported OS."
,
Surface Understandability (Based on 10 random source files),"Consistent indentation and formatting style? (yes, no, n/a)",yes
Surface Understandability (Based on 10 random source files),"Explicit identification of a coding standard? (yes∗, no, n/a)","yes (clang-format configuration and C++17 standard documented)"
Surface Understandability (Based on 10 random source files),"Are the code identifiers consistent, distinctive, and meaningful? (yes, no∗ , n/a)",yes
Surface Understandability (Based on 10 random source files),"Are constants (other than 0 and 1) hard coded into the program? (yes, no∗ , n/a)",no
Surface Understandability (Based on 10 random source files),"Comments are clear, indicate what is being done, not how? (yes, no∗ , n/a)",yes
Surface Understandability (Based on 10 random source files),"Parameters are in the same order for all functions? (yes, no∗ , n/a)",yes
Surface Understandability (Based on 10 random source files),"Is the name/URL of any algorithms used mentioned? (yes, no∗ , n/a)","yes (carrier protocol implementations cite networking standards; IPC mechanisms referenced)"
Surface Understandability (Based on 10 random source files),"Is code modularized? (yes, no∗ , n/a)",yes
Surface Understandability (Based on 10 random source files),Overall impression? (1 .. 10),7
Surface Understandability (Based on 10 random source files),Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),"Well-organized C++ library with consistent IIT coding standards. Port/carrier/device abstraction hierarchy is clearly defined and consistently implemented across 1000+ files."
,
Visibility/Transparency,"Is the development process defined? If yes, what process is used. (yes∗, no, n/a)","yes (GitHub PR workflow; CONTRIBUTING.md; IEEE RAL/ICRA papers for major releases)"
Visibility/Transparency,"Are there any documents recording the development process and status? (yes∗, no))","yes (CHANGELOG, GitHub releases, yarp.it news, IIT annual reports, eu-funded project deliverables)"
Visibility/Transparency,"Is the development environment documented? (yes∗, no)",yes
Visibility/Transparency,"Are there release notes? (yes∗, no)",yes
Visibility/Transparency,Overall impression? (1 .. 10),8
Visibility/Transparency,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),"High transparency from both open technical development (GitHub) and institutional publication channels (EU project deliverables, IIT papers). robotology organization GitHub provides integrated view of all IIT robotics software."
,
Raw Metrics (Measured via git_stats),Number of text-based files. (number),2143
Raw Metrics (Measured via git_stats),Number of binary files. (number),287
Raw Metrics (Measured via git_stats),Number of total lines in text-based files. (number),421380
Raw Metrics (Measured via git_stats),Number of total lines added to text-based files. (number),1643180
Raw Metrics (Measured via git_stats),Number of total lines deleted from text-based files. (number),1221800
Raw Metrics (Measured via git_stats),Number of total commits. (number),9847
Raw Metrics (Measured via git_stats),Numbers of commits by year in the last 5 years. (Count from as early as possible if the project is younger than 5 years.) (list of numbers),"2020: 684, 2021: 712, 2022: 748, 2023: 698, 2024: 612"
Raw Metrics (Measured via git_stats),Numbers of commits by month in the last 12 months. (list of numbers),"Feb 2024: 48, Mar: 52, Apr: 47, May: 54, Jun: 58, Jul: 49, Aug: 51, Sep: 53, Oct: 57, Nov: 61, Dec: 67, Jan 2025: 43"
,
Raw Metrics (Measured via scc),Number of text-based files. (number),2143
Raw Metrics (Measured via scc),Number of total lines in text-based files. (number),421380
Raw Metrics (Measured via scc),Number of code lines in text-based files. (number),295966
Raw Metrics (Measured via scc),Number of comment lines in text-based files. (number),63207
Raw Metrics (Measured via scc),Number of blank lines in text-based files. (number),62207
,
Repo Metrics (Measured via GitHub),Number of stars. (number),560
Repo Metrics (Measured via GitHub),Number of forks. (number),198
Repo Metrics (Measured via GitHub),Number of people watching this repo. (number),52
Repo Metrics (Measured via GitHub),Number of open pull requests. (number),18
Repo Metrics (Measured via GitHub),Number of closed pull requests. (number),847
