Section,Metric,AllowedValues/Notes
Surface Reliability,"If the tutorial testing broke, was the tutorial testing instance recoverable? (yes, no, n/a)","yes, no, n/a"
Surface Reliability,Overall impression? (1 .. 10),1 .. 10
Surface Reliability,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),free text
,
Surface Robustness,"Does the software handle unexpected/unanticipated input (like data of the wrong type, empty input, missing files or links) reasonably? (a reasonable response can include an appropriate error message.) (yes, no∗ )","yes, no∗"
Surface Robustness,"For any plain text input files, if all new lines are replaced with new lines and carriage returns, will the software handle this gracefully? (yes, no∗, n/a)","yes, no∗, n/a"
Surface Robustness,Overall impression? (1 .. 10),1 .. 10
Surface Robustness,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),free text
,
Surface Usability,"Is there a getting started tutorial? (yes, no)","yes, no"
Surface Usability,"Is there a user manual? (yes, no)","yes, no"
Surface Usability,"Are expected user characteristics documented? (yes, no)","yes, no"
Surface Usability,What is the user support model? FAQ? User forum? E-mail address to direct questions? Etc. (string),string
Surface Usability,Overall impression? (1 .. 10),1 .. 10
Surface Usability,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),free text
,
Maintainability,What is the current version number? (number),number
Maintainability,"Is there any information on how code is reviewed, or how to contribute? (yes∗, no)","yes∗, no"
Maintainability,"Are artifacts available? (List every type of file that is not a code file – for examples please look at the 'Artifact Name' column of https://gitlab.cas.mcmaster.ca/SEforSC/se4sc/-/blob/git-svn/GradStudents/Olu/ResearchProposal/Artifacts_MiningV3.xlsx) (yes∗, no, unclear) ∗list via string","yes∗, no, unclear"
Maintainability,"What issue tracking tool is employed? (set of Trac, JIRA, Redmine, e-mail, discussion board, sourceforge, google code, git, BitBucket, none, unclear, other∗) ∗ given via string","set of Trac, JIRA, Redmine, e-mail, discussion board, sourceforge, google code, git, BitBucket, none, unclear, other∗"
Maintainability,What is the percentage of identified issues that are closed? (percentage),percentage
Maintainability,What percentage of code is comments? (percentage),percentage
Maintainability,"Which version control system is in use? (svn, cvs, git, Github, unclear, other∗) ∗ given via string","svn, cvs, git, Github, unclear, other∗"
Maintainability,Overall impression? (1 .. 10),1 .. 10
Maintainability,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),free text
,
Reusability,How many code files are there? ( (0-9=0, 10-49=1, 50-99=3, 100-299=4, 300-599=5, 600-999=6, 1000+=8)),number
Reusability,"Is API documented? (yes, no, n/a)","yes, no, n/a"
Reusability,Overall impression? (1 .. 10),1 .. 10
Reusability,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),free text
,
Surface Understandability (Based on 10 random source files),"Consistent indentation and formatting style? (yes, no, n/a)","yes, no, n/a"
Surface Understandability (Based on 10 random source files),"Explicit identification of a coding standard? (yes∗, no, n/a)","yes∗, no, n/a"
Surface Understandability (Based on 10 random source files),"Are the code identifiers consistent, distinctive, and meaningful? (yes, no∗ , n/a)","yes, no∗, n/a"
Surface Understandability (Based on 10 random source files),"Are constants (other than 0 and 1) hard coded into the program? (yes, no∗ , n/a)","yes, no∗, n/a"
Surface Understandability (Based on 10 random source files),"Comments are clear, indicate what is being done, not how? (yes, no∗ , n/a)","yes, no∗, n/a"
Surface Understandability (Based on 10 random source files),"Parameters are in the same order for all functions? (yes, no∗ , n/a)","yes, no∗, n/a"
Surface Understandability (Based on 10 random source files),"Is the name/URL of any algorithms used mentioned? (yes, no∗ , n/a)","yes, no∗, n/a"
Surface Understandability (Based on 10 random source files),"Is code modularized? (yes, no∗ , n/a)","yes, no∗, n/a"
Surface Understandability (Based on 10 random source files),Overall impression? (1 .. 10),1 .. 10
Surface Understandability (Based on 10 random source files),Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),free text
,
Visibility/Transparency,"Is the development process defined? If yes, what process is used. (yes∗, no, n/a)","yes∗, no, n/a"
Visibility/Transparency,"Are there any documents recording the development process and status? (yes∗, no))","yes∗, no"
Visibility/Transparency,"Is the development environment documented? (yes∗, no)","yes∗, no"
Visibility/Transparency,"Are there release notes? (yes∗, no)","yes∗, no"
Visibility/Transparency,Overall impression? (1 .. 10),1 .. 10
Visibility/Transparency,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),free text
,
Raw Metrics (Measured via git_stats),Number of text-based files. (number),number
Raw Metrics (Measured via git_stats),Number of binary files. (number),number
Raw Metrics (Measured via git_stats),Number of total lines in text-based files. (number),number
Raw Metrics (Measured via git_stats),Number of total lines added to text-based files. (number),number
Raw Metrics (Measured via git_stats),Number of total lines deleted from text-based files. (number),number
Raw Metrics (Measured via git_stats),Number of total commits. (number),number
Raw Metrics (Measured via git_stats),Numbers of commits by year in the last 5 years. (Count from as early as possible if the project is younger than 5 years.) (list of numbers),list of numbers
Raw Metrics (Measured via git_stats),Numbers of commits by month in the last 12 months. (list of numbers),list of numbers
,
Raw Metrics (Measured via scc),Number of text-based files. (number),number
Raw Metrics (Measured via scc),Number of total lines in text-based files. (number),number
Raw Metrics (Measured via scc),Number of code lines in text-based files. (number),number
Raw Metrics (Measured via scc),Number of comment lines in text-based files. (number),number
Raw Metrics (Measured via scc),Number of blank lines in text-based files. (number),number
,
Repo Metrics (Measured via GitHub),Number of stars. (number),number
Repo Metrics (Measured via GitHub),Number of forks. (number),number
Repo Metrics (Measured via GitHub),Number of people watching this repo. (number),number
Repo Metrics (Measured via GitHub),Number of open pull requests. (number),number
Repo Metrics (Measured via GitHub),Number of closed pull requests. (number),number
